Layer, M, N, K, t, GEMM time, reduction time
X.W=KQV, 25165824, 12288, 12288, CR, 17.87627525826606, 2.6155206367168393
Q.K=R, 8388608, 12288, 2048, CR, 0.9932561541612143, 0.8718682122389465
R.V=Z, 8388608, 2048, 12288, CR, 0.9930540692875294, 0.14534636870649106
Z.W=Y, 8388608, 12288, 12288, CR, 5.95876441942202, 0.8718682122389465
Y.WL1=O1, 8388608, 12288, 12288, RC, 1.4896978548555049, 0.21835576493289474
O1.WL2=O2, 8388608, 12288, 49152, RC, 5.95876441942202, 0.21835576493289474
MHA, 0, 0, 0,CR, 25.821349901136823, 4.504603429901223
FFN, 0, 0, 0,RC, 7.448462274277525, 0.4367115298657895
