queue_order,diversity,job_duration_s,slow_reconfig_s,fast_reconfig_s,window_size,static_makespan_s,per_job_makespan_s,stratocs_makespan_s,oracle_makespan_s,static_speedup,per_job_speedup,oracle_loss_pct,reconfig_fraction,slow_reconfig_reduction_pct,retained_improvement_pct,verdict
random_avg,low,600,5,0,10,12000.0,11750.659749999999,11679.7015,11650.659749999999,1.027423517630138,1.0060753479016564,0.24927129126743885,0.0008561862646917818,90.0,94.54922528967097,conditional
clustered,low,600,5,0,20,12000.0,11750.659749999995,11674.701499999996,11650.659749999995,1.0278635389521527,1.006506226304801,0.20635526670496063,0.00042827647456339694,95.0,94.54922528967101,conditional
random_avg,low,600,5,0,20,12000.0,11750.659749999999,11674.7015,11650.659749999999,1.0278635389521522,1.006506226304801,0.2063552667049695,0.0004282764745633968,95.0,94.54922528967076,conditional
clustered,low,600,5,0.001,2,12000.0,11750.679749999996,11708.003499999997,11650.659749999995,1.0249399054245245,1.0036450493032394,0.4921931567008597,0.0042722911724445605,50.0,97.90354818833464,drop
random_avg,low,600,5,0.001,2,12000.0,11750.67975,11710.454199999998,11650.659749999999,1.0247254419241267,1.0034350416439697,0.5132280169799097,0.0042713972170870685,50.0,97.20202581866808,drop
clustered,low,600,5,0.001,5,12000.0,11750.679749999996,11682.728500000001,11650.659749999995,1.0271573117529864,1.0058163852733542,0.27525265253760534,0.0017136407817745657,80.0,96.55099863242063,conditional
random_avg,low,600,5,0.001,5,12000.0,11750.67975,11688.317649999999,11650.659749999999,1.0266661772696297,1.005335454937679,0.3232254722742356,0.0017128214057448323,80.0,94.95108279106094,conditional
clustered,low,600,5,0.001,10,12000.0,11750.679749999996,11679.7215,11650.659749999995,1.0274217583013432,1.0060753374984153,0.2494429553657307,0.0008578971681816215,90.0,94.54922528966996,conditional
random_avg,low,600,5,0.001,10,12000.0,11750.67975,11679.7215,11650.659749999999,1.0274217583013432,1.0060753374984155,0.24944295536568628,0.0008578971681816215,90.0,94.54922528967097,conditional
clustered,low,600,5,0.001,20,12000.0,11750.679749999996,11674.721499999996,11650.659749999995,1.027861778116078,1.0065062151589654,0.20652693080320805,0.00042998884384522586,95.0,94.54922528967101,conditional
