workload,method_v39_3b,method_v39_3,v39_3b_normalised,v39_3_normalised,normalised_delta_v39_3b_minus_v39_3,v39_3b_gain_percent,v39_3_gain_percent
qwen_mmlu_machine_learning,static SON / torus,,3.470392036445268,,,-247.0392036445268,
qwen_mmlu_machine_learning,full-prefill-informed decode OCS,,1.0000216853507649,,,-0.002168535076488569,
qwen_mmlu_machine_learning,prefill10-warmup OCS,prefill-warmup OCS,1.1391177271670605,1.142262084384056,-0.0031443572169955747,-13.911772716706047,-14.226208438405617
qwen_mmlu_machine_learning,phase-warmup OCS,phase-warmup OCS,1.1734950800276185,1.1781197425531906,-0.004624662525572143,-17.349508002761848,-17.81197425531906
qwen_mmlu_machine_learning,oracle,oracle,1.0,1.0,0.0,0.0,0.0
qwen_mmlu_machine_learning,previous-request OCS W=16,previous-request OCS W=16,1.2840922121833505,1.2360385257146262,0.04805368646872421,-28.409221218335052,-23.60385257146263
deepseek_mmlu_machine_learning,static SON / torus,,3.5456540193609203,,,-254.56540193609206,
deepseek_mmlu_machine_learning,full-prefill-informed decode OCS,,0.9883955139712115,,,1.1604486028788459,
deepseek_mmlu_machine_learning,prefill10-warmup OCS,prefill-warmup OCS,1.1446156800962761,1.169745504861232,-0.025129824764955844,-14.461568009627609,-16.974550486123203
deepseek_mmlu_machine_learning,phase-warmup OCS,phase-warmup OCS,1.0636154405469416,1.0869668483395214,-0.023351407792579826,-6.361544054694164,-8.696684833952144
deepseek_mmlu_machine_learning,oracle,oracle,0.9402520288687737,0.9782666270813651,-0.038014598212591455,5.97479711312263,2.1733372918634832
deepseek_mmlu_machine_learning,previous-request OCS W=16,previous-request OCS W=16,1.2302346015696923,1.1784464210499088,0.05178818051978351,-23.023460156969225,-17.844642104990875
qwen_livecodebench_execution,static SON / torus,,3.41413331539001,,,-241.413331539001,
qwen_livecodebench_execution,full-prefill-informed decode OCS,,1.0033727412595976,,,-0.33727412595976436,
qwen_livecodebench_execution,prefill10-warmup OCS,prefill-warmup OCS,0.9904357883607839,0.9820622057369703,0.008373582623813602,0.9564211639216067,1.7937794263029652
qwen_livecodebench_execution,phase-warmup OCS,phase-warmup OCS,0.9907813033492451,0.9907813002659429,3.0833021691378804e-09,0.9218696650754893,0.9218699734057058
qwen_livecodebench_execution,oracle,oracle,0.9831598825913138,0.9704197196267572,0.0127401629645566,1.6840117408686195,2.9580280373242824
qwen_livecodebench_execution,previous-request OCS W=16,previous-request OCS W=16,1.0514961449095221,1.0320809391427663,0.019415205766755816,-5.149614490952205,-3.2080939142766383
