workload,request_count,prefill_token_count,decode_token_count,total_prefill_remote_bytes_dispatch_plus_combine,total_decode_remote_bytes_dispatch_plus_combine,total_full_inference_remote_bytes,fair_universal_static_candidate,fair_universal_static_cycles_sequential,fair_universal_static_cycles_merged_wrong,merged_underestimates_by_percent,shuffled_order,byte_conservation_pass,best_w
qwen_mmlu_machine_learning,112,3812,14336,46600339456,175274983424,221875322880,random_regular_seed_11,46114080,45933061,0.3925460510108843,False,True,16
deepseek_mmlu_machine_learning,112,3710,13729,27984723968,103554482176,131539206144,random_regular_seed_11,26470539,25901870,2.14830910696605,False,True,16
qwen_livecodebench_execution,479,52341,61312,639855820800,749582761984,1389438582784,random_regular_seed_11,321337724,321337725,-3.111990673090098e-07,False,True,16
