workload,method,penalty_us,total_cycles,total_ms,normalised_to_fair_universal_static,gain_vs_fair_static_percent,number_of_reconfigurations,selected_candidate_name,graph_hash,selection_signal,evaluation_target,no_leakage,observed_bytes,evaluated_bytes,dominant_bottleneck,sender_bottleneck_time_ms,receiver_bottleneck_time_ms,optical_resource_bottleneck_time_ms,byte_conservation,same_budget_check
qwen_mmlu_machine_learning,oracle,1,46114080,46.11408,1.0,0.0,0,random_regular_seed_11,bf8048120d2c00d0a25647cb479254cb38e3dd34754b774a69dc310eaf2e7444,full prefill+decode oracle upper bound,full inference prefill+decode with sequential accounting,False,221875322880,221875322880,optical_resource,3.199424,5.295944,18.198966,True,True
qwen_mmlu_machine_learning,previous-request OCS W=16,1,59214731,59.214731,1.2840922121833505,-28.409221218335052,6,"window_selected_counts={'random_regular_seed_8': 2, 'random_regular_seed_11': 2, 'random_regular_seed_0': 1, 'random_regular_seed_26': 1}",window_dynamic,previous non-overlapping W=16 requests select next W requests,full inference prefill+decode with sequential accounting,True,31986434048,221875322880,optical_resource,0.458183,0.78453,3.070755,True,True
qwen_mmlu_machine_learning,static SON / torus,10,160033936,160.033936,3.470392036445268,-247.0392036445268,0,son_torus,c4e5cfbd019d5a9529a3d3c3229dfbca4ba9ab035a4ab8014f11713b7272ab1b,static SON/torus reference; no target-specific selection,full inference prefill+decode with sequential accounting,True,221875322880,221875322880,optical_resource,3.199424,5.295944,63.489023,True,True
qwen_mmlu_machine_learning,full-prefill-informed decode OCS,10,46124080,46.12408,1.0002168535076488,-0.021685350764885692,1,random_regular_seed_11,bf8048120d2c00d0a25647cb479254cb38e3dd34754b774a69dc310eaf2e7444,full prefill trace[0] selects decode topology,full inference prefill+decode with sequential accounting,True,46600339456,221875322880,optical_resource,3.199424,5.295944,18.198966,True,True
qwen_mmlu_machine_learning,prefill10-warmup OCS,10,52538366,52.538366,1.1393128953239444,-13.931289532394445,1,random_regular_seed_24,e6adf16e6d662ab53573532f6fb9a6ddcf19509cc3adfedfff89d8b7d079e7cc,prefill first 10% selects remaining prefill+decode,full inference prefill+decode with sequential accounting,True,5147099136,221875322880,optical_resource,5.295944,3.199424,20.274569,True,True
qwen_mmlu_machine_learning,phase-warmup OCS,10,54132646,54.132646,1.1738854163413863,-17.38854163413864,2,prefill:random_regular_seed_24 decode:random_regular_seed_27,multi,prefill10 selects prefill90; decode10 selects decode90,full inference prefill+decode with sequential accounting,True,23928881152,221875322880,optical_resource,3.199424,4.747695,18.608792,True,True
qwen_mmlu_machine_learning,oracle,10,46114080,46.11408,1.0,0.0,0,random_regular_seed_11,bf8048120d2c00d0a25647cb479254cb38e3dd34754b774a69dc310eaf2e7444,full prefill+decode oracle upper bound,full inference prefill+decode with sequential accounting,False,221875322880,221875322880,optical_resource,3.199424,5.295944,18.198966,True,True
qwen_mmlu_machine_learning,previous-request OCS W=16,10,59268731,59.268731,1.2852632211246544,-28.526322112465433,6,"window_selected_counts={'random_regular_seed_8': 2, 'random_regular_seed_11': 2, 'random_regular_seed_0': 1, 'random_regular_seed_26': 1}",window_dynamic,previous non-overlapping W=16 requests select next W requests,full inference prefill+decode with sequential accounting,True,31986434048,221875322880,optical_resource,0.458183,0.78453,3.070755,True,True
qwen_mmlu_machine_learning,static SON / torus,25000,160033936,160.033936,3.470392036445268,-247.0392036445268,0,son_torus,c4e5cfbd019d5a9529a3d3c3229dfbca4ba9ab035a4ab8014f11713b7272ab1b,static SON/torus reference; no target-specific selection,full inference prefill+decode with sequential accounting,True,221875322880,221875322880,optical_resource,3.199424,5.295944,63.489023,True,True
qwen_mmlu_machine_learning,full-prefill-informed decode OCS,25000,71114080,71.11408,1.5421337691221424,-54.21337691221423,1,random_regular_seed_11,bf8048120d2c00d0a25647cb479254cb38e3dd34754b774a69dc310eaf2e7444,full prefill trace[0] selects decode topology,full inference prefill+decode with sequential accounting,True,46600339456,221875322880,optical_resource,3.199424,5.295944,18.198966,True,True
