Total batches, 143051, Processed Batches, 2
Layer, Type, start time, end time, duration, Bytes to be transferred, Collective type, Parallelism, Locality, Degree
'FWD_MHA', 'Compute', 0, 0.025423021492460222, 0.025423021492460222, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA', 'Comm', 0.025423021492460222, 0.025439402674682445, 1.6381182222222223e-05, 0.0, 'ALLREDUCE', 'TP', 'INTRA', 8
'FWD_FFN', 'Compute', 0.025439402674682445, 0.029094599643286978, 0.0036551969686045324, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA', 'Comm', 0.029094599643286978, 0.0291109808255092, 1.6381182222222223e-05, 0.0, 'ALLREDUCE', 'TP', 'INTRA', 8
'FWD_MHA', 'Compute', 0.0291109808255092, 0.05453400231796943, 0.025423021492460222, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA', 'Comm', 0.05453400231796943, 0.054550383500191646, 1.6381182222222223e-05, 0.0, 'ALLREDUCE', 'TP', 'INTRA', 8
'FWD_FFN', 'Compute', 0.054550383500191646, 0.058205580468796175, 0.0036551969686045324, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA', 'Comm', 0.058205580468796175, 0.058221961651018395, 1.6381182222222223e-05, 0.0, 'ALLREDUCE', 'TP', 'INTRA', 8
'FWD_MHA', 'Compute', 0.058221961651018395, 0.08364498314347862, 0.025423021492460222, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA', 'Comm', 0.08364498314347862, 0.08366136432570084, 1.6381182222222223e-05, 0.0, 'ALLREDUCE', 'TP', 'INTRA', 8
'FWD_FFN', 'Compute', 0.08366136432570084, 0.08731656129430537, 0.0036551969686045324, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA', 'Comm', 0.08731656129430537, 0.08733294247652759, 1.6381182222222223e-05, 0.0, 'ALLREDUCE', 'TP', 'INTRA', 8
'FWD_MHA', 'Compute', 0.08733294247652759, 0.11275596396898782, 0.025423021492460222, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA', 'Comm', 0.11275596396898782, 0.11277234515121004, 1.6381182222222223e-05, 0.0, 'ALLREDUCE', 'TP', 'INTRA', 8
'FWD_FFN', 'Compute', 0.11277234515121004, 0.11642754211981457, 0.0036551969686045324, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA', 'Comm', 0.11642754211981457, 0.11644392330203679, 1.6381182222222223e-05, 0.0, 'ALLREDUCE', 'TP', 'INTRA', 8
'FWD_MHA', 'Compute', 0.11644392330203679, 0.14186694479449702, 0.025423021492460222, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA', 'Comm', 0.14186694479449702, 0.14188332597671924, 1.6381182222222223e-05, 0.0, 'ALLREDUCE', 'TP', 'INTRA', 8
'FWD_FFN', 'Compute', 0.14188332597671924, 0.14553852294532377, 0.0036551969686045324, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA', 'Comm', 0.14553852294532377, 0.145554904127546, 1.6381182222222223e-05, 0.0, 'ALLREDUCE', 'TP', 'INTRA', 8
'FWD_MHA', 'Compute', 0.145554904127546, 0.17097792562000622, 0.025423021492460222, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA', 'Comm', 0.17097792562000622, 0.17099430680222844, 1.6381182222222223e-05, 0.0, 'ALLREDUCE', 'TP', 'INTRA', 8
'FWD_FFN', 'Compute', 0.17099430680222844, 0.17464950377083296, 0.0036551969686045324, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA', 'Comm', 0.17464950377083296, 0.17466588495305518, 1.6381182222222223e-05, 0.0, 'ALLREDUCE', 'TP', 'INTRA', 8
'FWD_MHA', 'Compute', 0.17466588495305518, 0.2000889064455154, 0.025423021492460222, 'NONE', 'NONE', 'NONE', 0
'FWD_TP_COMM_INTRA', 'Comm', 0.2000889064455154, 0.20010528762773763, 1.6381182222222223e-05, 0.0, 'ALLREDUCE', 'TP', 'INTRA', 8
