Layer, M, N, K, t, GEMM time, reduction time
X.W=KQV, 49152, 12288, 12288, CR, 0.017463449449301754, 0.006057749497727181
Q.K=R, 16384, 12288, 2048, CR, 0.0009789679239855609, 0.0020845831659090605
R.V=Z, 16384, 2048, 12288, CR, 0.0009786916360723197, 0.0004290971943181767
Z.W=Y, 16384, 12288, 12288, CR, 0.005827149816433919, 0.0020845831659090605
Y.WL1=O1, 16384, 12288, 12288, RC, 0.0007362687270542398, 0.00029250610466107304
O1.WL2=O2, 16384, 12288, 49152, RC, 0.002918074908216959, 0.00029250610466107304
MHA, 0, 0, 0,CR, 0.025248258825793554, 0.010656013023863478
FFN, 0, 0, 0,RC, 0.003654343635271199, 0.0005850122093221461
