Total batches,143051.1474609375,Explicit schedule unit,one optimization step,DP overlap mode,lump
Event,Type,start time,end time,duration,Bytes to be transferred,Collective type,Parallelism,Locality,Degree,Lane,Step,Layer index,First layer,Last layer,Layer count,Bucket id,Unit kind,Ready time,Raw comm duration,Raw reconf duration,Hidden comm duration,Exposed comm duration,Hidden reconf duration,Exposed reconf duration,Stage index,Microbatch index,Scheduler explicit,Event provenance,Ordering source,topology_signature,Topology candidate tag,previous_event_type,previous_topology_signature,gap_from_previous_s
FWD_LAYER_COMPUTE,Compute,0.022599588236530004,0.030100021950928896,0.0075004337143988915,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,3,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.030100021950928896,0.03013278431537334,3.2762364444445524e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,3,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.03013278431537334,0.03763321802977223,0.007500433714398888,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,4,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.03763321802977223,0.037665980394216675,3.2762364444445524e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,4,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.037665980394216675,0.04516641410861556,0.007500433714398888,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,5,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.04516641410861556,0.04519917647306001,3.2762364444445524e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,5,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.04519917647306001,0.052699610187458897,0.007500433714398888,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,6,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.052699610187458897,0.05273237255190334,3.2762364444445524e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,6,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.05273237255190334,0.06023280626630223,0.007500433714398888,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,7,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.06023280626630223,0.060265568630746676,3.2762364444445524e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,7,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.060265568630746676,0.06776600234514557,0.007500433714398895,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,8,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.06776600234514557,0.06779876470959001,3.2762364444438585e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,8,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.06779876470959001,0.0752991984239889,0.007500433714398888,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,9,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.0752991984239889,0.07533196078843334,3.2762364444438585e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,9,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.07533196078843334,0.08283239450283222,0.007500433714398888,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,10,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.08283239450283222,0.08286515686727666,3.2762364444438585e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,10,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.08286515686727666,0.09036559058167555,0.007500433714398888,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,11,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.09036559058167555,0.09039835294611999,3.2762364444438585e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,11,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.09039835294611999,0.09789878666051888,0.007500433714398888,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,12,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.09789878666051888,0.09793154902496332,3.2762364444438585e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,12,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.09793154902496332,0.1054319827393622,0.007500433714398888,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,13,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.1054319827393622,0.10546474510380664,3.2762364444438585e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,13,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.10546474510380664,0.11296517881820553,0.007500433714398888,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,14,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.11296517881820553,0.11299794118264997,3.2762364444438585e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,14,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.11299794118264997,0.12049837489704886,0.007500433714398888,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,15,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.12049837489704886,0.1205311372614933,3.2762364444438585e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,15,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.1205311372614933,0.12803157097589218,0.007500433714398888,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,16,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
