Layer, M, N, K, t, GEMM time, reduction time
X.W=KQV, 12582912, 12288, 12288, CR, 17.87773026935659, 0.8718402122389464
Q.K=R, 4194304, 12288, 2048, CR, 0.9928115674391075, 0.2906227374129821
R.V=Z, 4194304, 2048, 12288, CR, 0.9930540692875294, 0.04844878956883036
Z.W=Y, 4194304, 12288, 12288, CR, 5.959249423118863, 0.2906227374129821
Y.WL1=O1, 4194304, 12288, 12288, RC, 2.9796292115594314, 0.1460687924528073
O1.WL2=O2, 4194304, 12288, 49152, RC, 11.918489846237726, 0.1460687924528073
MHA, 0, 0, 0,CR, 25.82284532920209, 1.501534476633741
FFN, 0, 0, 0,RC, 14.898119057797157, 0.2921375849056146
