dataset_id,dataset_label,ep_size,experts_per_gpu,files_used,calibration_requests,evaluation_requests,source_policy,block_size,expert_placement,local_bytes_excluded,remote_bytes,network_mode,degree,per_gpu_bandwidth_tbps,per_link_bandwidth_gbps,routing,reconfigurations,completion_time_ms,max_link_load_bytes,message_count,improvement_over_en_ideal,improvement_over_son_ring,improvement_over_son_torus_ecmp,median_link_load_bytes,average_link_load_bytes,average_hop_count,max_hop_count,candidate_pool_size,selection_objective,candidate_index,reconfig_us_per_request,exposed_reconfiguration_time_ms
qwen_mmlu_ml,Qwen MMLU ML,32,4.0,112,12,100,block_by_token,16,block,734199808,45498368000,RON calibrated,4,1.6,400,deterministic_shortest_path_on_selected_graph,1,167.6804096000024,1867776,,0.4658296201922672,0.22839346776233463,0.16701291714364347,79366.97191489361,110463.46627391751,2.584805716137957,5,22,minimize_calibration_aggregate_max_link_load,9,,
qwen_mmlu_ml,Qwen MMLU ML,32,4.0,112,12,100,block_by_token,16,block,734199808,45498368000,RON W=4 0us,4,1.6,400,deterministic_shortest_path_on_selected_graph,100,166.1411328,1458176,,0.47073321074794355,0.2354766806232586,0.17465959271177403,77726.61106382978,109025.63607757703,2.5390920651363555,5,22,previous_4_requests_minimize_max_link_load,,0,0.0
qwen_mmlu_ml,Qwen MMLU ML,32,4.0,112,12,100,block_by_token,16,block,734199808,45498368000,RON W=4 1us,4,1.6,400,deterministic_shortest_path_on_selected_graph,100,166.2411328,1458176,,0.47041464617556333,0.23501651563792833,0.1741628220485562,77726.61106382978,109025.63607757703,2.53756471024989,5,22,previous_4_requests_minimize_max_link_load,,1,0.1
qwen_mmlu_ml,Qwen MMLU ML,32,4.0,112,12,100,block_by_token,16,block,734199808,45498368000,RON W=4 10us,4,1.6,400,deterministic_shortest_path_on_selected_graph,100,167.1411328,1458176,,0.46754756502414085,0.23087503076995544,0.16969188607959543,77726.61106382978,109025.63607757703,2.523900759306362,5,22,previous_4_requests_minimize_max_link_load,,10,1.0
qwen_mmlu_ml,Qwen MMLU ML,32,4.0,112,12,100,block_by_token,16,block,734199808,45498368000,RON oracle,4,1.6,400,deterministic_shortest_path_on_selected_graph,0,142.11973120000002,1286144,,0.5472568860347309,0.34601475977203494,0.2939908687543197,80522.13106382979,105513.66436153426,2.5042926342067493,4,22,true_current_request_minimize_max_link_load,,,0.0
qwen_mmlu_ml,Qwen MMLU ML,64,2.0,112,12,100,block_by_token,16,block,368410624,46229946368,EN ideal Clos,,0.4,400,ideal_ECMP,0,315.6292403200292,1179648,1572630,0.0,-0.38939230025830046,-0.7455655186912786,,,,,,,,,
qwen_mmlu_ml,Qwen MMLU ML,64,2.0,112,12,100,block_by_token,16,block,368410624,46229946368,EN ECMP-imbalance 1.3x,,0.4,400,ideal_ECMP_times_1.3,0,410.3180124160793,1179648,1572630,-0.30000000000013083,-0.8062099903359724,-1.2692351742988905,,,,,,,,,
qwen_mmlu_ml,Qwen MMLU ML,64,2.0,112,12,100,block_by_token,16,block,368410624,46229946368,SON ring,2,1.6,800,deterministic_shortest_path,0,227.17071360000406,4710400,,0.28026087389854465,0.0,-0.2563518009756945,544861.4672340426,559891.2134793353,16.2328378873373,32,,,,,
qwen_mmlu_ml,Qwen MMLU ML,64,2.0,112,12,100,block_by_token,16,block,368410624,46229946368,SON torus deterministic,4,1.6,400,deterministic_shortest_path,0,213.84609791999927,2990080,,0.3224769108743788,0.05865463672164368,-0.18266094249488232,82632.00680851063,124785.57644907899,4.069314008125583,8,,,,,
qwen_mmlu_ml,Qwen MMLU ML,64,2.0,112,12,100,block_by_token,16,block,368410624,46229946368,SON torus ECMP,4,1.6,400,equal_cost_shortest_path_split,0,180.81775616000326,1546240,,0.4271197561522981,0.20404460022790533,0.0,41953.28,73353.56784179936,4.069314008125583,8,,,,,
