workload,regime,loss_budget,port_budget,best_static_depths,best_static_units,pathbudget_depth_budget,pathbudget_time_s,pathbudget_port_usage,pathbudget_loss_db,oracle_depth_budget,oracle_time_s,feasibility_failures
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,medium,high,"{'TP': 2, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP2,PP3,DP3) U(TP9,PP2,DP1)",0.8401640119472593,12.0,10.5,"D(TP2,PP3,DP3) U(TP9,PP2,DP1)",0.8401640119472593,"{'reach': 1320, 'loss': 0, 'port': 157, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,medium,high,"{'TP': 2, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP2,PP3,DP3) U(TP8,PP2,DP2)",1.1376314783333334,12.6,10.5,"D(TP2,PP3,DP3) U(TP8,PP2,DP2)",1.1376314783333334,"{'reach': 1320, 'loss': 0, 'port': 157, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,extra_parallelism_bandwidth_steering,relaxed,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 10, 'PP': 1, 'DP': 1}","D(TP1,PP3,DP3) U(TP9,PP1,DP2)",0.19752076494592594,6.9,10.5,"D(TP2,PP3,DP3) U(TP9,PP1,DP2)",0.18112168812617283,"{'reach': 990, 'loss': 0, 'port': 1065, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,extra_parallelism_bandwidth_steering,relaxed,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 10, 'PP': 1, 'DP': 1}","D(TP1,PP3,DP3) U(TP9,PP1,DP2)",0.756181186932,6.9,10.5,"D(TP2,PP3,DP3) U(TP9,PP1,DP2)",0.6691061797853333,"{'reach': 1155, 'loss': 0, 'port': 1065, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,relaxed,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 10, 'PP': 1, 'DP': 1}","D(TP1,PP3,DP3) U(TP9,PP2,DP1)",0.9837905808408887,6.6,10.5,"D(TP2,PP3,DP3) U(TP9,PP2,DP1)",0.8401640119472593,"{'reach': 1320, 'loss': 0, 'port': 1065, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,relaxed,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 10, 'PP': 1, 'DP': 1}","D(TP1,PP3,DP3) U(TP9,PP2,DP1)",1.3646255405777776,6.6,10.5,"D(TP2,PP3,DP3) U(TP8,PP2,DP2)",1.1376314783333334,"{'reach': 1320, 'loss': 0, 'port': 1065, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,extra_parallelism_bandwidth_steering,relaxed,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 10, 'PP': 1, 'DP': 1}","D(TP1,PP3,DP3) U(TP9,PP1,DP2)",0.19752076494592594,6.9,10.5,"D(TP2,PP3,DP3) U(TP9,PP1,DP2)",0.18112168812617283,"{'reach': 990, 'loss': 0, 'port': 688, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,extra_parallelism_bandwidth_steering,relaxed,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 10, 'PP': 1, 'DP': 1}","D(TP1,PP3,DP3) U(TP9,PP1,DP2)",0.756181186932,6.9,10.5,"D(TP2,PP3,DP3) U(TP9,PP1,DP2)",0.6691061797853333,"{'reach': 1155, 'loss': 0, 'port': 688, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,relaxed,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 10, 'PP': 1, 'DP': 1}","D(TP1,PP3,DP3) U(TP9,PP2,DP1)",0.9837905808408887,6.6,10.5,"D(TP2,PP3,DP3) U(TP9,PP2,DP1)",0.8401640119472593,"{'reach': 1320, 'loss': 0, 'port': 688, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,relaxed,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 10, 'PP': 1, 'DP': 1}","D(TP1,PP3,DP3) U(TP9,PP2,DP1)",1.3646255405777776,6.6,10.5,"D(TP2,PP3,DP3) U(TP8,PP2,DP2)",1.1376314783333334,"{'reach': 1320, 'loss': 0, 'port': 688, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,extra_parallelism_bandwidth_steering,relaxed,high,"{'TP': 2, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP2,PP3,DP3) U(TP9,PP1,DP2)",0.18112168812617283,12.3,10.5,"D(TP2,PP3,DP3) U(TP9,PP1,DP2)",0.18112168812617283,"{'reach': 990, 'loss': 0, 'port': 157, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,extra_parallelism_bandwidth_steering,relaxed,high,"{'TP': 2, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP2,PP3,DP3) U(TP9,PP1,DP2)",0.6691061797853333,12.3,10.5,"D(TP2,PP3,DP3) U(TP9,PP1,DP2)",0.6691061797853333,"{'reach': 1155, 'loss': 0, 'port': 157, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,relaxed,high,"{'TP': 2, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP2,PP3,DP3) U(TP9,PP2,DP1)",0.8401640119472593,12.0,10.5,"D(TP2,PP3,DP3) U(TP9,PP2,DP1)",0.8401640119472593,"{'reach': 1320, 'loss': 0, 'port': 157, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,relaxed,high,"{'TP': 2, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP2,PP3,DP3) U(TP8,PP2,DP2)",1.1376314783333334,12.6,10.5,"D(TP2,PP3,DP3) U(TP8,PP2,DP2)",1.1376314783333334,"{'reach': 1320, 'loss': 0, 'port': 157, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,deep_oversubscribed_global_bottleneck,strict,low,,,,,,,"D(TP1,PP1,DP3) U(TP7,PP1,DP4)",0.22541977628,"{'reach': 990, 'loss': 1045, 'port': 888, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,deep_oversubscribed_global_bottleneck,strict,low,,,,,,,"D(TP1,PP2,DP3) U(TP8,PP1,DP3)",0.8330153111573333,"{'reach': 1155, 'loss': 1045, 'port': 888, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,strict,low,,,,,,,"D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.221239563488,"{'reach': 1320, 'loss': 1045, 'port': 888, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,strict,low,,,,,,,"D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.7159834950666668,"{'reach': 1320, 'loss': 1045, 'port': 888, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,deep_oversubscribed_global_bottleneck,strict,medium,,,,,,,"D(TP1,PP1,DP3) U(TP7,PP1,DP4)",0.22541977628,"{'reach': 990, 'loss': 1045, 'port': 470, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,deep_oversubscribed_global_bottleneck,strict,medium,,,,,,,"D(TP1,PP2,DP3) U(TP8,PP1,DP3)",0.8330153111573333,"{'reach': 1155, 'loss': 1045, 'port': 470, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,strict,medium,,,,,,,"D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.221239563488,"{'reach': 1320, 'loss': 1045, 'port': 470, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,strict,medium,,,,,,,"D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.7159834950666668,"{'reach': 1320, 'loss': 1045, 'port': 470, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,deep_oversubscribed_global_bottleneck,strict,high,,,,,,,"D(TP1,PP1,DP3) U(TP7,PP1,DP4)",0.22541977628,"{'reach': 990, 'loss': 1045, 'port': 18, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,deep_oversubscribed_global_bottleneck,strict,high,,,,,,,"D(TP1,PP2,DP3) U(TP8,PP1,DP3)",0.8330153111573333,"{'reach': 1155, 'loss': 1045, 'port': 18, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,strict,high,,,,,,,"D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.221239563488,"{'reach': 1320, 'loss': 1045, 'port': 18, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,strict,high,,,,,,,"D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.7159834950666668,"{'reach': 1320, 'loss': 1045, 'port': 18, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,deep_oversubscribed_global_bottleneck,medium,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP1,DP3) U(TP8,PP1,DP3)",0.22829296368,6.35,11.0,"D(TP1,PP1,DP3) U(TP7,PP1,DP4)",0.22541977628,"{'reach': 990, 'loss': 0, 'port': 888, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,deep_oversubscribed_global_bottleneck,medium,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP2,DP3) U(TP8,PP1,DP3)",0.8330153111573333,6.63,11.0,"D(TP1,PP2,DP3) U(TP8,PP1,DP3)",0.8330153111573333,"{'reach': 1155, 'loss': 0, 'port': 888, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,medium,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP3,DP3) U(TP8,PP2,DP2)",1.259894269152,6.9,11.0,"D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.221239563488,"{'reach': 1320, 'loss': 0, 'port': 888, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,medium,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP3,DP3) U(TP8,PP2,DP2)",1.7626800796,6.9,11.0,"D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.7159834950666668,"{'reach': 1320, 'loss': 0, 'port': 888, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,deep_oversubscribed_global_bottleneck,medium,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 7, 'PP': 3, 'DP': 2}","D(TP1,PP1,DP3) U(TP7,PP1,DP4)",0.22541977628,7.300000000000001,11.0,"D(TP1,PP1,DP3) U(TP7,PP1,DP4)",0.22541977628,"{'reach': 990, 'loss': 0, 'port': 470, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,deep_oversubscribed_global_bottleneck,medium,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 7, 'PP': 3, 'DP': 2}","D(TP1,PP2,DP3) U(TP8,PP1,DP3)",0.8330153111573333,6.63,11.0,"D(TP1,PP2,DP3) U(TP8,PP1,DP3)",0.8330153111573333,"{'reach': 1155, 'loss': 0, 'port': 470, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,medium,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 7, 'PP': 3, 'DP': 2}","D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.221239563488,7.6000000000000005,11.0,"D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.221239563488,"{'reach': 1320, 'loss': 0, 'port': 470, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,medium,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 7, 'PP': 3, 'DP': 2}","D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.7159834950666668,7.6000000000000005,11.0,"D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.7159834950666668,"{'reach': 1320, 'loss': 0, 'port': 470, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,deep_oversubscribed_global_bottleneck,medium,high,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 7, 'PP': 3, 'DP': 2}","D(TP1,PP1,DP3) U(TP7,PP1,DP4)",0.22541977628,7.300000000000001,11.0,"D(TP1,PP1,DP3) U(TP7,PP1,DP4)",0.22541977628,"{'reach': 990, 'loss': 0, 'port': 18, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,deep_oversubscribed_global_bottleneck,medium,high,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 7, 'PP': 3, 'DP': 2}","D(TP1,PP2,DP3) U(TP8,PP1,DP3)",0.8330153111573333,6.63,11.0,"D(TP1,PP2,DP3) U(TP8,PP1,DP3)",0.8330153111573333,"{'reach': 1155, 'loss': 0, 'port': 18, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,medium,high,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 7, 'PP': 3, 'DP': 2}","D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.221239563488,7.6000000000000005,11.0,"D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.221239563488,"{'reach': 1320, 'loss': 0, 'port': 18, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,medium,high,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 7, 'PP': 3, 'DP': 2}","D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.7159834950666668,7.6000000000000005,11.0,"D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.7159834950666668,"{'reach': 1320, 'loss': 0, 'port': 18, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,deep_oversubscribed_global_bottleneck,relaxed,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP1,DP3) U(TP8,PP1,DP3)",0.22829296368,6.35,11.0,"D(TP1,PP1,DP3) U(TP7,PP1,DP4)",0.22541977628,"{'reach': 990, 'loss': 0, 'port': 888, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,deep_oversubscribed_global_bottleneck,relaxed,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP2,DP3) U(TP8,PP1,DP3)",0.8330153111573333,6.63,11.0,"D(TP1,PP2,DP3) U(TP8,PP1,DP3)",0.8330153111573333,"{'reach': 1155, 'loss': 0, 'port': 888, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,relaxed,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP3,DP3) U(TP8,PP2,DP2)",1.259894269152,6.9,11.0,"D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.221239563488,"{'reach': 1320, 'loss': 0, 'port': 888, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,relaxed,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP3,DP3) U(TP8,PP2,DP2)",1.7626800796,6.9,11.0,"D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.7159834950666668,"{'reach': 1320, 'loss': 0, 'port': 888, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,deep_oversubscribed_global_bottleneck,relaxed,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 7, 'PP': 3, 'DP': 2}","D(TP1,PP1,DP3) U(TP7,PP1,DP4)",0.22541977628,7.300000000000001,11.0,"D(TP1,PP1,DP3) U(TP7,PP1,DP4)",0.22541977628,"{'reach': 990, 'loss': 0, 'port': 470, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,deep_oversubscribed_global_bottleneck,relaxed,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 7, 'PP': 3, 'DP': 2}","D(TP1,PP2,DP3) U(TP8,PP1,DP3)",0.8330153111573333,6.63,11.0,"D(TP1,PP2,DP3) U(TP8,PP1,DP3)",0.8330153111573333,"{'reach': 1155, 'loss': 0, 'port': 470, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,relaxed,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 7, 'PP': 3, 'DP': 2}","D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.221239563488,7.6000000000000005,11.0,"D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.221239563488,"{'reach': 1320, 'loss': 0, 'port': 470, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,relaxed,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 7, 'PP': 3, 'DP': 2}","D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.7159834950666668,7.6000000000000005,11.0,"D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.7159834950666668,"{'reach': 1320, 'loss': 0, 'port': 470, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,deep_oversubscribed_global_bottleneck,relaxed,high,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 7, 'PP': 3, 'DP': 2}","D(TP1,PP1,DP3) U(TP7,PP1,DP4)",0.22541977628,7.300000000000001,11.0,"D(TP1,PP1,DP3) U(TP7,PP1,DP4)",0.22541977628,"{'reach': 990, 'loss': 0, 'port': 18, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,deep_oversubscribed_global_bottleneck,relaxed,high,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 7, 'PP': 3, 'DP': 2}","D(TP1,PP2,DP3) U(TP8,PP1,DP3)",0.8330153111573333,6.63,11.0,"D(TP1,PP2,DP3) U(TP8,PP1,DP3)",0.8330153111573333,"{'reach': 1155, 'loss': 0, 'port': 18, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,relaxed,high,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 7, 'PP': 3, 'DP': 2}","D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.221239563488,7.6000000000000005,11.0,"D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.221239563488,"{'reach': 1320, 'loss': 0, 'port': 18, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,relaxed,high,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 7, 'PP': 3, 'DP': 2}","D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.7159834950666668,7.6000000000000005,11.0,"D(TP1,PP3,DP3) U(TP7,PP3,DP2)",1.7159834950666668,"{'reach': 1320, 'loss': 0, 'port': 18, 'resource': 0}"
