Layer, M, N, K, t, GEMM time, reduction time
X.W=KQV, 6291456, 12288, 12288, CR, 8.938869634678296, 0.43592710611947316
Q.K=R, 2097152, 12288, 2048, CR, 0.4964102837195537, 0.1453183687064911
R.V=Z, 2097152, 2048, 12288, CR, 0.49653153464376465, 0.024231394784415182
Z.W=Y, 2097152, 12288, 12288, CR, 2.9796292115594314, 0.1453183687064911
Y.WL1=O1, 2097152, 12288, 12288, RC, 1.4898191057797157, 0.07304139622640365
O1.WL2=O2, 2097152, 12288, 49152, RC, 5.959249423118863, 0.07304139622640365
MHA, 0, 0, 0,CR, 12.911440664601045, 0.7507952383168705
FFN, 0, 0, 0,RC, 7.449068528898579, 0.1460827924528073
