Layer, Type, start time, end time, duration, Bytes to be transferred, Collective type, Parallelism, Locality, Degree, SRC, DEST
'FWD_MHA', 'Compute', 0, 25.877960540452232, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 25.877960540452232, 55.675656362075806, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 55.675656362075806, 81.55361690252803, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 81.55361690252803, 111.35131272415161, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 111.35131272415161, 137.22927326460385, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 137.22927326460385, 167.0269690862274, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 167.0269690862274, 192.90492962667963, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 192.90492962667963, 222.7026254483032, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 222.7026254483032, 248.58058598875542, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 248.58058598875542, 278.378281810379, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 278.378281810379, 304.25624235083126, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 304.25624235083126, 334.0539381724548, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 334.0539381724548, 359.93189871290707, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 359.93189871290707, 389.72959453453063, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 389.72959453453063, 415.6075550749829, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 415.6075550749829, 445.40525089660645, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 445.40525089660645, 471.2832114370587, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 471.2832114370587, 501.08090725868226, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 501.08090725868226, 526.9588677991345, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 526.9588677991345, 556.7565636207581, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 556.7565636207581, 582.6345241612104, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 582.6345241612104, 612.432219982834, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 612.432219982834, 638.3101805232862, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 638.3101805232862, 668.1078763449099, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 668.1078763449099, 693.9858368853621, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 693.9858368853621, 723.7835327069857, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 723.7835327069857, 749.661493247438, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 749.661493247438, 779.4591890690616, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 779.4591890690616, 805.3371496095139, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 805.3371496095139, 835.1348454311375, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 835.1348454311375, 861.0128059715897, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 861.0128059715897, 890.8105017932133, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 890.8105017932133, 916.6884623336656, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 916.6884623336656, 946.4861581552892, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 946.4861581552892, 972.3641186957415, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 972.3641186957415, 1002.1618145173651, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 1002.1618145173651, 1028.0397750578172, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 1028.0397750578172, 1057.8374708794408, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 1057.8374708794408, 1083.715431419893, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 1083.715431419893, 1113.5131272415167, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 1113.5131272415167, 1139.391087781969, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 1139.391087781969, 1169.1887836035926, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 1169.1887836035926, 1195.0667441440448, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 1195.0667441440448, 1224.8644399656685, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 1224.8644399656685, 1250.7424005061207, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 1250.7424005061207, 1280.5400963277443, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 1280.5400963277443, 1306.4180568681966, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 1306.4180568681966, 1336.2157526898202, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 1336.2157526898202, 1362.0937132302724, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 1362.0937132302724, 1391.891409051896, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 1391.891409051896, 1417.7693695923483, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 1417.7693695923483, 1447.567065413972, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 1447.567065413972, 1473.4450259544242, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 1473.4450259544242, 1503.2427217760478, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 1503.2427217760478, 1529.1206823165, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 1529.1206823165, 1558.9183781381237, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 1558.9183781381237, 1584.796338678576, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 1584.796338678576, 1614.5940345001995, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 1614.5940345001995, 1640.4719950406518, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 1640.4719950406518, 1670.2696908622754, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 1670.2696908622754, 1696.1476514027277, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 1696.1476514027277, 1725.9453472243513, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 1725.9453472243513, 1751.8233077648035, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 1751.8233077648035, 1781.6210035864272, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 1781.6210035864272, 1807.4989641268794, 25.877960540452232, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 1807.4989641268794, 1837.296659948503, 29.797695821623574, 'NONE', 'NONE', 'NONE', 0
