workload,regime,loss_budget,port_budget,assignment,time_s,port_usage,max_loss_db,feasible,failure_reason
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP1-PP3-DP3,0.30121638739333334,8.4,10.0,True,
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP2-PP1-DP1,,4.2,6.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP2-PP1-DP2,,5.2,6.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP2-PP1-DP3,0.37204567422000007,7.2,10.0,True,
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP2-PP2-DP1,,5.0,6.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP2-PP2-DP2,,6.0,6.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP2-PP2-DP3,0.37225936638000007,8.0,10.0,True,
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP2-PP3-DP1,,6.6,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP2-PP3-DP2,,7.6,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP2-PP3-DP3,0.37276306259333336,9.6,10.0,True,
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP3-PP1-DP1,,6.6,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP3-PP1-DP2,,7.6,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP3-PP1-DP3,0.6324588411533333,9.6,10.0,True,
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP3-PP2-DP1,,7.4,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP3-PP2-DP2,,8.4,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP3-PP2-DP3,0.6326725333133333,10.4,10.0,True,
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP3-PP3-DP1,,9.0,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP3-PP3-DP2,,10.0,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP3-PP3-DP3,0.6331762295266666,12.0,10.0,True,
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP1-PP1-DP1,,3.0,2.5,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP1-PP1-DP2,,4.0,6.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP1-PP1-DP3,0.30049899902000005,6.0,10.0,True,
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP1-PP2-DP1,,3.8,6.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP1-PP2-DP2,,4.8,6.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP1-PP2-DP3,0.30071269118000005,6.8,10.0,True,
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP1-PP3-DP1,,5.4,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP1-PP3-DP2,,6.4,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP1-PP3-DP3,0.30121638739333334,8.4,10.0,True,
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP2-PP1-DP1,,4.2,6.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP2-PP1-DP2,,5.2,6.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP2-PP1-DP3,0.37204567422000007,7.2,10.0,True,
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP2-PP2-DP1,,5.0,6.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP2-PP2-DP2,,6.0,6.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP2-PP2-DP3,0.37225936638000007,8.0,10.0,True,
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP2-PP3-DP1,,6.6,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP2-PP3-DP2,,7.6,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP2-PP3-DP3,0.37276306259333336,9.6,10.0,True,
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP3-PP1-DP1,,6.6,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP3-PP1-DP2,,7.6,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP3-PP1-DP3,0.6324588411533333,9.6,10.0,True,
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP3-PP2-DP1,,7.4,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP3-PP2-DP2,,8.4,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP3-PP2-DP3,0.6326725333133333,10.4,10.0,True,
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP3-PP3-DP1,,9.0,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP3-PP3-DP2,,10.0,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP3-PP3-DP3,0.6331762295266666,12.0,10.0,True,
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,relaxed,low,TP1-PP1-DP1,,3.0,2.5,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,relaxed,low,TP1-PP1-DP2,,4.0,6.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,relaxed,low,TP1-PP1-DP3,0.30049899902000005,6.0,10.0,True,
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,relaxed,low,TP1-PP2-DP1,,3.8,6.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,relaxed,low,TP1-PP2-DP2,,4.8,6.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,relaxed,low,TP1-PP2-DP3,0.30071269118000005,6.8,10.0,True,
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,relaxed,low,TP1-PP3-DP1,,5.4,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,relaxed,low,TP1-PP3-DP2,,6.4,10.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,relaxed,low,TP1-PP3-DP3,,8.4,10.0,False,port
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,relaxed,low,TP2-PP1-DP1,,4.2,6.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,relaxed,low,TP2-PP1-DP2,,5.2,6.0,False,reach
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,relaxed,low,TP2-PP1-DP3,,7.2,10.0,False,port
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,relaxed,low,TP2-PP2-DP1,,5.0,6.0,False,reach
