workload,regime,loss_budget,port_budget,best_fixed_depth,pathbudget_assignment,fixed_time_s,pathbudget_time_s,oracle_time_s,speedup,oracle_gap_pct,port_usage,max_loss_db,feasible,feasibility_failures,verdict
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,deep_oversubscribed_global_bottleneck,strict,high,none,none,,,,,,,,False,"{'reach': 18, 'loss': 19, 'port': 0}",infeasible
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,deep_oversubscribed_global_bottleneck,medium,low,none,TP1-PP1-DP3,,0.33262618652000003,0.33262618652000003,,0.0,7.0,11.0,True,"{'reach': 18, 'loss': 0, 'port': 18}",keep_no_fixed_feasible
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,deep_oversubscribed_global_bottleneck,medium,medium,none,TP1-PP1-DP3,,0.33262618652000003,0.33262618652000003,,0.0,7.0,11.0,True,"{'reach': 18, 'loss': 0, 'port': 2}",keep_no_fixed_feasible
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,deep_oversubscribed_global_bottleneck,medium,high,TP3-PP3-DP3,TP1-PP1-DP3,1.0367390590533334,0.33262618652000003,0.33262618652000003,3.116829344977013,0.0,7.0,11.0,True,"{'reach': 18, 'loss': 0, 'port': 0}",strong_keep
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,deep_oversubscribed_global_bottleneck,relaxed,low,none,TP1-PP1-DP3,,0.33262618652000003,0.33262618652000003,,0.0,7.0,11.0,True,"{'reach': 18, 'loss': 0, 'port': 18}",keep_no_fixed_feasible
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,deep_oversubscribed_global_bottleneck,relaxed,medium,none,TP1-PP1-DP3,,0.33262618652000003,0.33262618652000003,,0.0,7.0,11.0,True,"{'reach': 18, 'loss': 0, 'port': 2}",keep_no_fixed_feasible
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,deep_oversubscribed_global_bottleneck,relaxed,high,TP3-PP3-DP3,TP1-PP1-DP3,1.0367390590533334,0.33262618652000003,0.33262618652000003,3.116829344977013,0.0,7.0,11.0,True,"{'reach': 18, 'loss': 0, 'port': 0}",strong_keep
GPT-3-175B-like_mixed_TP8_PP8_DP16,reach_only_depth_is_costly,strict,low,none,TP1-PP2-DP3,,1.138014501748,1.138014501748,,0.0,6.8,10.0,True,"{'reach': 21, 'loss': 0, 'port': 13}",keep_no_fixed_feasible
GPT-3-175B-like_mixed_TP8_PP8_DP16,reach_only_depth_is_costly,strict,medium,TP3-PP3-DP3,TP1-PP2-DP3,2.287929637235999,1.138014501748,1.138014501748,2.0104573656326172,0.0,6.8,10.0,True,"{'reach': 21, 'loss': 0, 'port': 0}",strong_keep
GPT-3-175B-like_mixed_TP8_PP8_DP16,reach_only_depth_is_costly,strict,high,TP3-PP3-DP3,TP1-PP2-DP3,2.287929637235999,1.138014501748,1.138014501748,2.0104573656326172,0.0,6.8,10.0,True,"{'reach': 21, 'loss': 0, 'port': 0}",strong_keep
GPT-3-175B-like_mixed_TP8_PP8_DP16,reach_only_depth_is_costly,medium,low,none,TP1-PP2-DP3,,1.138014501748,1.138014501748,,0.0,6.8,10.0,True,"{'reach': 21, 'loss': 0, 'port': 13}",keep_no_fixed_feasible
GPT-3-175B-like_mixed_TP8_PP8_DP16,reach_only_depth_is_costly,medium,medium,TP3-PP3-DP3,TP1-PP2-DP3,2.287929637235999,1.138014501748,1.138014501748,2.0104573656326172,0.0,6.8,10.0,True,"{'reach': 21, 'loss': 0, 'port': 0}",strong_keep
GPT-3-175B-like_mixed_TP8_PP8_DP16,reach_only_depth_is_costly,medium,high,TP3-PP3-DP3,TP1-PP2-DP3,2.287929637235999,1.138014501748,1.138014501748,2.0104573656326172,0.0,6.8,10.0,True,"{'reach': 21, 'loss': 0, 'port': 0}",strong_keep
GPT-3-175B-like_mixed_TP8_PP8_DP16,reach_only_depth_is_costly,relaxed,low,none,TP1-PP2-DP3,,1.138014501748,1.138014501748,,0.0,6.8,10.0,True,"{'reach': 21, 'loss': 0, 'port': 13}",keep_no_fixed_feasible
GPT-3-175B-like_mixed_TP8_PP8_DP16,reach_only_depth_is_costly,relaxed,medium,TP3-PP3-DP3,TP1-PP2-DP3,2.287929637235999,1.138014501748,1.138014501748,2.0104573656326172,0.0,6.8,10.0,True,"{'reach': 21, 'loss': 0, 'port': 0}",strong_keep
GPT-3-175B-like_mixed_TP8_PP8_DP16,reach_only_depth_is_costly,relaxed,high,TP3-PP3-DP3,TP1-PP2-DP3,2.287929637235999,1.138014501748,1.138014501748,2.0104573656326172,0.0,6.8,10.0,True,"{'reach': 21, 'loss': 0, 'port': 0}",strong_keep
GPT-3-175B-like_mixed_TP8_PP8_DP16,extra_parallelism_bandwidth_steering,strict,low,none,none,,,,,,,,False,"{'reach': 21, 'loss': 19, 'port': 21}",infeasible
