comm_class,start_us,end_us,duration_us,ranks,label
TP,1.421000,1.452000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.2.mha.qkv@0_X1COMM
TP,1.452000,1.483000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.2.mha.dwqkv@0_X2_COMM
TP,1.452000,1.483000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.2.mha.dwqkv@0_X2_COMM
TP,1.483000,1.514000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.2.mha.qkv@0_X1COMM
TP,1.483000,1.514000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.2.mha.qkv@0_X1COMM
TP,1.514000,1.545000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.2.mha.dwqkv@0_X2_COMM
TP,1.514000,1.545000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.2.mha.dwqkv@0_X2_COMM
TP,1.545000,1.637000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb0.transformer.2.mha.o@0_X1COMM
TP,1.545000,1.637000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb0.transformer.2.mha.o@0_X1COMM
TP,1.637000,1.729000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb1.transformer.2.mha.o@0_X1COMM
TP,1.637000,1.729000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb1.transformer.2.mha.o@0_X1COMM
TP,1.729000,1.760000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.2.ffn.x00@0_X1COMM
TP,1.729000,1.760000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.2.ffn.x00@0_X1COMM
TP,1.760000,1.791000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.2.ffn.x01@0_X1COMM
TP,1.760000,1.791000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.2.ffn.x01@0_X1COMM
TP,1.791000,1.822000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.2.ffn.x00@0_X1COMM
TP,1.791000,1.822000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.2.ffn.x00@0_X1COMM
TP,1.822000,1.853000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.2.ffn.x01@0_X1COMM
TP,1.822000,1.853000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.2.ffn.x01@0_X1COMM
TP,1.853000,1.945000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb0.transformer.2.ffn.xdown@0_X1COMM
TP,1.853000,1.945000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb0.transformer.2.ffn.xdown@0_X1COMM
TP,1.945000,2.037000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb1.transformer.2.ffn.xdown@0_X1COMM
TP,1.945000,2.037000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb1.transformer.2.ffn.xdown@0_X1COMM
